IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
103.235.18.229,20038,true,HKG,Asia Pacific,Hong Kong,37 ms,420 kB/s
223.122.34.65,27465,true,HKG,Asia Pacific,Hong Kong,53 ms,419 kB/s
8.210.252.139,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,418 kB/s
8.210.125.166,34237,true,HKG,Asia Pacific,Hong Kong,44 ms,405 kB/s
47.243.176.251,34237,true,HKG,Asia Pacific,Hong Kong,37 ms,400 kB/s
154.218.6.178,443,true,HKG,Asia Pacific,Hong Kong,39 ms,381 kB/s
8.217.85.212,29606,true,HKG,Asia Pacific,Hong Kong,36 ms,378 kB/s
45.152.64.52,34237,true,HKG,Asia Pacific,Hong Kong,44 ms,378 kB/s
59.148.144.66,18444,true,HKG,Asia Pacific,Hong Kong,75 ms,371 kB/s
156.251.217.37,2053,true,HKG,Asia Pacific,Hong Kong,40 ms,360 kB/s
47.243.225.216,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,351 kB/s
206.237.31.96,52939,true,HKG,Asia Pacific,Hong Kong,77 ms,348 kB/s
47.57.233.126,443,true,SJC,North America,San Jose,41 ms,342 kB/s
202.95.1.34,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,329 kB/s
223.197.160.188,11627,true,TPE,Asia Pacific,Taipei,63 ms,310 kB/s
203.86.238.158,2443,true,HKG,Asia Pacific,Hong Kong,38 ms,309 kB/s
8.218.42.123,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,308 kB/s
8.210.130.210,15203,true,HKG,Asia Pacific,Hong Kong,32 ms,299 kB/s
103.234.53.114,37875,true,HKG,Asia Pacific,Hong Kong,48 ms,294 kB/s
45.136.14.227,34237,true,HKG,Asia Pacific,Hong Kong,69 ms,292 kB/s
203.196.9.87,7223,true,HKG,Asia Pacific,Hong Kong,44 ms,284 kB/s
43.249.83.151,34237,true,HKG,Asia Pacific,Hong Kong,41 ms,281 kB/s
107.151.248.210,8443,true,HKG,Asia Pacific,Hong Kong,40 ms,281 kB/s
61.93.10.88,443,true,HKG,Asia Pacific,Hong Kong,33 ms,270 kB/s
47.242.149.43,13380,true,HKG,Asia Pacific,Hong Kong,37 ms,251 kB/s
47.243.190.115,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,234 kB/s
8.217.1.108,59956,true,HKG,Asia Pacific,Hong Kong,34 ms,229 kB/s
172.93.165.228,443,true,HKG,Asia Pacific,Hong Kong,38 ms,229 kB/s
34.150.69.245,443,true,HKG,Asia Pacific,Hong Kong,70 ms,225 kB/s
154.204.30.68,443,true,HKG,Asia Pacific,Hong Kong,61 ms,215 kB/s
8.218.159.31,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,215 kB/s
8.218.231.118,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,213 kB/s
119.246.38.110,29580,true,HKG,Asia Pacific,Hong Kong,74 ms,204 kB/s
103.20.222.231,10001,true,SIN,Asia Pacific,Singapore,41 ms,202 kB/s
8.218.229.19,34237,true,HKG,Asia Pacific,Hong Kong,31 ms,191 kB/s
43.249.83.151,34237,true,HKG,Asia Pacific,Hong Kong,41 ms,178 kB/s
35.220.229.218,5555,true,HKG,Asia Pacific,Hong Kong,36 ms,178 kB/s
8.218.136.67,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,173 kB/s
103.20.222.231,10001,true,HKG,Asia Pacific,Hong Kong,39 ms,172 kB/s
47.243.86.79,2096,true,HKG,Asia Pacific,Hong Kong,37 ms,169 kB/s
159.138.136.130,2053,true,HKG,Asia Pacific,Hong Kong,45 ms,167 kB/s
154.3.37.19,1521,true,HKG,Asia Pacific,Hong Kong,64 ms,161 kB/s
18.167.172.112,443,true,HKG,Asia Pacific,Hong Kong,97 ms,155 kB/s
47.90.124.48,10443,true,HKG,Asia Pacific,Hong Kong,35 ms,155 kB/s
103.145.72.64,34237,true,HKG,Asia Pacific,Hong Kong,37 ms,152 kB/s
47.242.65.228,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,142 kB/s
47.57.7.200,443,true,HKG,Asia Pacific,Hong Kong,43 ms,137 kB/s
107.148.236.56,60039,true,HKG,Asia Pacific,Hong Kong,40 ms,130 kB/s
172.93.165.228,443,true,SIN,Asia Pacific,Singapore,37 ms,129 kB/s
47.242.75.110,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,129 kB/s
203.86.238.158,2443,true,HKG,Asia Pacific,Hong Kong,37 ms,117 kB/s
149.88.71.176,43935,true,HKG,Asia Pacific,Hong Kong,48 ms,102 kB/s
20.205.121.170,50101,true,HKG,Asia Pacific,Hong Kong,91 ms,102 kB/s
20.205.121.201,50101,true,HKG,Asia Pacific,Hong Kong,90 ms,100 kB/s
47.242.149.43,13380,true,HKG,Asia Pacific,Hong Kong,42 ms,100 kB/s
45.207.11.69,8899,true,HKG,Asia Pacific,Hong Kong,38 ms,99 kB/s
103.20.222.22,10130,true,HKG,Asia Pacific,Hong Kong,38 ms,98 kB/s
35.215.180.54,4433,true,HKG,Asia Pacific,Hong Kong,34 ms,89 kB/s
192.253.239.8,7602,true,HKG,Asia Pacific,Hong Kong,36 ms,83 kB/s
47.89.39.186,39251,true,HKG,Asia Pacific,Hong Kong,34 ms,77 kB/s
45.207.13.239,12655,true,HKG,Asia Pacific,Hong Kong,37 ms,74 kB/s
47.243.85.65,58139,true,HKG,Asia Pacific,Hong Kong,33 ms,71 kB/s
34.96.239.180,31631,true,HKG,Asia Pacific,Hong Kong,61 ms,70 kB/s
8.217.122.226,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,70 kB/s
8.217.121.219,8134,true,KIX,Asia Pacific,Osaka,31 ms,68 kB/s
47.242.113.108,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,66 kB/s
8.217.46.62,34237,true,HKG,Asia Pacific,Hong Kong,39 ms,66 kB/s
45.207.13.239,12655,true,HKG,Asia Pacific,Hong Kong,37 ms,61 kB/s
152.32.130.150,802,true,HKG,Asia Pacific,Hong Kong,33 ms,59 kB/s
115.126.57.237,715,true,HKG,Asia Pacific,Hong Kong,42 ms,49 kB/s
47.243.190.115,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,48 kB/s
8.210.49.165,36950,true,HKG,Asia Pacific,Hong Kong,40 ms,45 kB/s
103.20.223.171,37811,true,HKG,Asia Pacific,Hong Kong,53 ms,30 kB/s
38.181.35.157,2053,true,HKG,Asia Pacific,Hong Kong,40 ms,22 kB/s
18.162.120.247,9002,true,HKG,Asia Pacific,Hong Kong,95 ms,12 kB/s
16.162.100.236,34237,true,HKG,Asia Pacific,Hong Kong,95 ms,11 kB/s
16.162.56.233,443,true,HKG,Asia Pacific,Hong Kong,98 ms,9 kB/s
18.163.60.42,34237,true,HKG,Asia Pacific,Hong Kong,90 ms,3 kB/s
18.162.120.247,9001,true,HKG,Asia Pacific,Hong Kong,96 ms,2 kB/s
202.81.232.199,47910,true,HKG,Asia Pacific,Hong Kong,46 ms,0 kB/s
8.217.94.13,42952,true,HKG,Asia Pacific,Hong Kong,34 ms,0 kB/s
18.162.54.247,34237,true,HKG,Asia Pacific,Hong Kong,96 ms,0 kB/s
8.210.151.69,2053,true,HKG,Asia Pacific,Hong Kong,39 ms,0 kB/s
8.217.85.192,47297,true,HKG,Asia Pacific,Hong Kong,40 ms,0 kB/s
