IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.211.16,2083,true,SIN,Asia Pacific,Singapore,70 ms,2047 kB/s
8.222.128.131,2083,true,SIN,Asia Pacific,Singapore,70 ms,2043 kB/s
8.222.212.219,8443,true,SIN,Asia Pacific,Singapore,72 ms,2032 kB/s
54.169.64.252,3389,true,SIN,Asia Pacific,Singapore,67 ms,2031 kB/s
18.139.221.164,8443,true,SIN,Asia Pacific,Singapore,66 ms,2025 kB/s
8.222.198.105,2083,true,SIN,Asia Pacific,Singapore,67 ms,1987 kB/s
8.222.189.228,2087,true,SIN,Asia Pacific,Singapore,76 ms,1977 kB/s
8.222.221.90,2083,true,SIN,Asia Pacific,Singapore,70 ms,1975 kB/s
8.222.212.219,2083,true,SIN,Asia Pacific,Singapore,75 ms,1960 kB/s
8.222.164.209,2096,true,SIN,Asia Pacific,Singapore,66 ms,1937 kB/s
8.222.219.34,8443,true,SIN,Asia Pacific,Singapore,71 ms,1897 kB/s
18.139.221.164,2053,true,SIN,Asia Pacific,Singapore,73 ms,1895 kB/s
8.222.164.209,443,true,SIN,Asia Pacific,Singapore,69 ms,1874 kB/s
8.219.42.72,2096,true,SIN,Asia Pacific,Singapore,79 ms,1862 kB/s
8.219.140.1,2096,true,SIN,Asia Pacific,Singapore,69 ms,1857 kB/s
8.222.209.223,2087,true,SIN,Asia Pacific,Singapore,62 ms,1856 kB/s
18.142.51.39,31551,true,SIN,Asia Pacific,Singapore,63 ms,1839 kB/s
8.222.249.98,2096,true,SIN,Asia Pacific,Singapore,68 ms,1829 kB/s
13.251.92.69,443,true,SIN,Asia Pacific,Singapore,65 ms,1817 kB/s
8.222.213.221,8443,true,SIN,Asia Pacific,Singapore,76 ms,1817 kB/s
8.219.241.19,2096,true,SIN,Asia Pacific,Singapore,72 ms,1780 kB/s
8.222.241.42,2096,true,SIN,Asia Pacific,Singapore,72 ms,1774 kB/s
8.222.202.163,2053,true,SIN,Asia Pacific,Singapore,69 ms,1773 kB/s
8.219.103.254,2087,true,SIN,Asia Pacific,Singapore,63 ms,1768 kB/s
52.221.228.196,443,true,SIN,Asia Pacific,Singapore,74 ms,1741 kB/s
13.251.92.69,8443,true,SIN,Asia Pacific,Singapore,69 ms,1699 kB/s
8.219.254.128,2087,true,SIN,Asia Pacific,Singapore,69 ms,1686 kB/s
8.222.209.223,2083,true,SIN,Asia Pacific,Singapore,61 ms,1685 kB/s
